n	expression
1	(1*(8+(2+(7+(6+(4-(1+25)))))))
2	(1+(8+(2+(7+(6+(4-(1+25)))))))
3	(1*(8+(2+(7+(6+(4+(1-25)))))))
4	(1-(8-(2-(7+(6+(4-(1+25)))))))
5	(1*(8-(2+(7+(6-(4+(1+(2+5))))))))
6	(1-(8+(2+(7+(6-(4-(1-25)))))))
7	(1-(8+(2*(7+(6+(4+(1-25)))))))
8	(1-(8+(2+(7+(6-(4+(1+25)))))))
9	(1-(8+(2*(7+(6+(4-(1*25)))))))
10	(1-(8+(2+(7-(6-(4+(1-25)))))))
11	(1-(8+(2*(7+(6+(4-(1+25)))))))
12	(1-(8-(2-(7+(6-(4+(1+25)))))))
13	(1*(8-(2+(7+(6+(4+(1-25)))))))
14	(1-(8+(2-(7-(6+(4-(1+25)))))))
15	(1*(8-(2+(7+(6+(4-(1+25)))))))
16	(1+(8-(2+(7+(6+(4-(1+25)))))))
17	(1*(8+(2-(7+(6+(4+(1-25)))))))
18	(1-(8-(2+(7-(6+(4-(1+25)))))))
19	(1*(8+(2-(7+(6+(4-(1+25)))))))
20	(1-(8+(2+(7-(6+(4+(1+25)))))))
21	(1*(8-(2+(7+(6-(4-(1-25)))))))
22	(1-(8+(2-(7-(6-(4+(1+25)))))))
23	(1*(8-(2+(7+(6-(4+(1+25)))))))
24	(1-(8-(2-(7-(6+(4+(1+25)))))))
25	(1*(8-(2+(7-(6-(4+(1-25)))))))
26	(1-(8-(2+(7-(6-(4+(1+25)))))))
27	(1*(8+(2-(7+(6-(4+(1+25)))))))
28	(1+(8+(2-(7+(6-(4+(1+25)))))))
29	(1*(8-(2-(7-(6+(4-(1+25)))))))
30	(1+(8-(2-(7-(6+(4-(1+25)))))))
31	(1*(8+(2-(7-(6-(4-(1+25)))))))
32	(1+(8+(2-(7-(6-(4-(1+25)))))))
33	(1*(8+(2+(7-(6+(4-(1+25)))))))
34	(1-(8+(2-(7+(6+(4+(1+25)))))))
35	(1*(8-(2+(7-(6+(4+(1+25)))))))
36	(1+(8-(2+(7-(6+(4+(1+25)))))))
37	(1*(8-(2-(7-(6-(4+(1+25)))))))
38	(1-(8-(2+(7+(6+(4+(1+25)))))))
39	(1*(8+(2-(7-(6+(4+(1+25)))))))
40	(1+(8+(2-(7-(6+(4+(1+25)))))))
41	(1*(8+(2+(7-(6-(4+(1+25)))))))
42	(1*(8-(2*(7+(6-(4+(1+25)))))))
43	(1+(8-(2*(7+(6-(4+(1+25)))))))
44	(1+(8+(2+(7+(6-(4+(1-25)))))))
45	(1*(8+(2+(7+(6-(4-(1+25)))))))
46	(1+(8+(2+(7+(6-(4-(1+25)))))))
47	(1+(8-(2*(7-(6-(4+(1-25)))))))
48	(1+(8-(2-(7+(6+(4-(1-25)))))))
49	(1*(8-(2-(7+(6+(4+(1+25)))))))
50	(1+(8-(2-(7+(6+(4+(1+25)))))))
51	(1-(8+(2*(7-(6+(4+(1+25)))))))
52	(1+(8+(2+(7+(6+(4-(1-25)))))))
53	(1*(8+(2+(7+(6+(4+(1+25)))))))
54	(1+(8+(2+(7+(6+(4+(1+25)))))))
55	(1-(8-(2*(7-(6-(4+(1+25)))))))
56	(1-(8+(2+(7-(6*(4+(1+(2+5))))))))
57	(1-(8*(2+(7+(6+(4-(1+25)))))))
